no,응답값,코딩값-1,코딩값-2,코딩값-3,코딩 숫자화-1,코딩 숫자화-2,코딩 숫자화-3
2121,맛이 좋아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2122,다른맥주보다 맛있다 목넘김이 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,목 넘김이 좋다 ,,107,173,
2123,순해서 가볍게 마시기 좋음,순하다,가볍게/무난하게/부담 없이 마실 수 있다,,39,601,
2124,이전부터 마셔왔던 거라 익숙해서..,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
2125,맥주맛이 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2126,KGB의 경우 맥주들이 과일맛이 나고 탄산음료를 마시는 듯한 맛과 느낌을 줘서 좋아합니다.,과일 맛이 난다,탄산이 적당하다,음료수란 느낌이 난다/음료 대용으로 좋다,149,110,35
2127,호가든의 맛을 좋아한다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2128,부드러운 맛이 목넘김이 좋다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,목 넘김이 좋다 ,,112,173,
2129,시원하고 깔끔하고 향으로 인한 긴 여운,맛이 시원하다/맛이 상쾌하다/청량감이 있다,맛이 깔끔하다,잔향이 좋다,103,102,875
2130,밀러라이트는 맛이 가볍고 탄산이 적은데도 불구하고 시원한 감이 너무 좋다,맛이 가볍다,탄산이 적다/탄산이 강하지 않다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,51,75,103
2131,늘 즐겨먹던 맥주라서,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
2132,목넘김이 편안하고 맛이 좋음,목 넘김이 편안하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,174,107,
2133,그냥,모름,,,999,,
2134,저렴하면서도 맛있다,가격이 저렴하다 ,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,11,107,
2135,대중적이다,대중적/보편적이다,,,22,,
2136,맛,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2137,맛이 좋아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2138,목넘김이 부드러원서,목 넘김이 부드럽다 ,,,171,,
2139,시원함이 좋아서,시원하다,,,2,,
2140,마셔보니 맛이 좋아서 이상표를 좋아함,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,브랜드가 좋다/브랜드 이미지가 좋다,,107,19,
2141,제일 많이 접하게 되어서,대중적/보편적이다,,,22,,
2142,제일 흔하고 값싸고 맛있다,대중적/보편적이다,가격이 저렴하다 ,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,22,11,107
2143,KGB 맥주가 맛도 맛있고 여성들의 입맛에 맞는 맥주라 부담없이 먹을 수 있다.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,여성적이다/여성이 마시기에 좋다,가볍게/무난하게/부담 없이 마실 수 있다,107,30,601
2144,상표 이름처럼 끝 맛이 깔끔하고 시원하다. 드라이한 느낌이 강해서 달지 않고 맥주의 진한 맛을 느낄 수 있어서 좋다.,뒷맛이 깔끔하다,뒷맛이 시원하다/뒷맛이 상쾌하다,드라이하다,153,138,170
2145,특별히 이유 없음,없음,,,998,,
2146,가장 부드럽고 깔끔했던 거 같아서,부드럽다,깔끔하다,,14,1,
2147,맛과연관되는 진한이미지,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,,,115,,
2148,홋카이도로 여행을 간적이 있었는데 그곳에서 삿뽀로 맥주 박물관 및 홋카이도 지역에서 파는 삿뽀로 클래식을 맛본 후 좋아졌음,여행에서 마신 기억/추억이 깃든 상표다,,,617,,
2149,"호주에서 처음 맛보게 되었는데 덥고 힘들때 아주 시원하고 맛있게  
마신 기억이 있음",여름에 잘 어울린다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,730,103,107
2150,부드럽고 일반맥주와는 다른 맛이난다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,맛이 독특하다/맛이 차별화됐다,,112,117,
2151,맛이 좋다 풍미가 있고,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,풍미가 좋다,,107,533,
2152,맥주맛이 개인적으로 입에 맞음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2153,부드러운 목넘김이 너무 좋아서,목 넘김이 부드럽다 ,,,171,,
2154,톡쏘는맛,톡 쏘는 맛이 있다,,,104,,
2155,"맛있고 
전통있고 세계적",맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,전통 있다,세계적인 브랜드다,107,366,91
2156,구입이 쉽고 대중적이라서,구입이 용이하다,대중적/보편적이다,,21,22,
2157,계속해서 먹어오던 맥주라 상표가 익숙하다,브랜드가 친숙하다/브랜드 명이 친근하다,,,362,,
2158,산뜻한 향과 맛이좋아서 좋아한다,향이 산뜻하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,235,107,
2159,시원함,시원하다,,,2,,
2160,부드럽다,부드럽다,,,14,,
2161,매일 먹는거라서,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
2162,목넘김이 좋고 깔끔하다,목 넘김이 좋다 ,목 넘김이 깔끔하다,,173,172,
2163,레몬맛,레몬 맛이 난다,,,111,,
2164,맛이 깔끔하고 시원하다,맛이 깔끔하다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,,102,103,
2165,새로운 맛 끝맛 작렬,맛이 독특하다/맛이 차별화됐다,뒷맛이 좋다,,117,151,
2166,맛이 부드럽다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,,112,,
2167,맛이좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2168,목넘김이 부드럽다.,목 넘김이 부드럽다 ,,,171,,
2169,깔끔하고 항상눈에 드러오는 cass 글자때문,깔끔하다,상표 글자가 눈에 띈다,,1,775,
2170,"친숙, 좋아함",친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
2171,맛있음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2172,많은 사람들이 찾길래 먹다보니 카스위주로 먹게 됨,주변에서 추천하는 맥주다,,,179,,
2173,맥주맛이 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2174,하이네켄의 특유의 맛과 이미지,맥주 기본/특유의 맛이 잘 살아있다,느낌이 좋다,,54,9,
2175,맛있음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2176,맥주맛이 오묘한것이 좋습니다.,맛이 독특하다/맛이 차별화됐다,,,117,,
2177,목 넘김과 맛이 좋음,목 넘김이 좋다 ,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,173,107,
2178,맛이깔끔하고 거품이 살아있어서,맛이 깔끔하다,거품이 살아있다,,102,969,
2179,부드럽다,부드럽다,,,14,,
2180,"적당히 톡 쏘고 적당히 씀.  
가장 많이 마셔 익숙하기도 함",톡 쏘는 맛이 있다,맛이 쌉싸름하다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,104,113,3
2181,오픈하기 간편함,돌려서 딸 수 있다/뚜껑을 따기 쉽다,,,605,,
2182,너무 고급스럽지도 너무 가볍지도 않고 대중적임.,대중적/보편적이다,,,22,,
2183,대중적임,대중적/보편적이다,,,22,,
2184,가장시원하고 대중적이며 많은 매장에서 대표적으로 판매하는 맥주이다.,시원하다,대중적/보편적이다,구입이 용이하다,2,22,21
2185,밀맥주 맛과 향,밀 맥주이다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,향이 좋다,459,107,204
2186,마셔본 맥주들 중에 가장 맛있다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2187,"내 입맛에 맞음 
거품도 부드럽고 입넘김이 좋음",맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,거품이 부드럽다,목 넘김이 좋다 ,107,183,173
2188,맥아의 맛이 진하고 목넘김이 깔끔하고 부드럽다.,맥아의 맛이 진하다,목 넘김이 깔끔하다,목 넘김이 부드럽다 ,970,172,171
2189,맛이 진하다,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,,,115,,
2190,타맥주에 비해 가격이 싼편이어서 부담없이 즐기고 맛도 시원하다,가격이 저렴하다 ,가볍게/무난하게/부담 없이 마실 수 있다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,11,601,103
2191,김수현의 광고보고,광고 모델이 좋다 ,,,303,,
2192,"흑맥주, 독특함, 향, 맛(부드러움)",흑맥주를 좋아한다,특별하다,향이 좋다,69,7,204
2193,처음부터 먹던 술이라 적응 되서인지 다른 맥주의 향과 맛이 시르다,처음 마셔본 맥주이다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,631,3,
2194,마셔 본 맥주 중에 가장 맛있기 때문에,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2195,빈티지한 느낌이 좋다.,빈티지하다,,,772,,
2196,"맛이담백하다, 신선한느낌",맛이 담백하다,맛이 신선하다,,127,52,
2197,"다른 타 맥주보다 마실때 목넘김이 너무 좋다.  
또한 맥주를 마시면 상쾌한 기분이 들어서 좋다.",목 넘김이 좋다 ,맛이 산뜻하다/맛이 상큼하다,,173,118,
2198,맛도 좋고 칼로리 걱정없어서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,칼로리가 적다/다이어트에 좋다,,107,46,
2199,"브랜드가 마음에 들고 라벨 디자인이 깔끔하고 세련되며 
먹는 한국맥주중 가장 맛이 좋고, 뒷맛이 시원하다.",브랜드가 좋다/브랜드 이미지가 좋다,라벨 디자인이 깔끔하다,라벨이 세련되었다,19,819,711
2200,부드럽고 맛이 좋음. 다른 맥주와 차별화된 맛,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,맛이 독특하다/맛이 차별화됐다,112,107,117
2201,목넘김이 좋고 기포감도 산뜻함,목 넘김이 좋다 ,거품 맛이 산뜻하다,,173,942,
2202,맛이 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2203,맛이 진하고 풍부해서 그렇습니다,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,맛이 풍부하다/맛이 깊다,,115,70,
2204,초록색바탕 느낌이 너무 좋다,병 색깔이 마음에 든다,느낌이 좋다,,705,9,
2205,음용한지 오래되어서,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
2206,일본에 신혼여행 갔었는데 삿포로 생맥주가 정말 맛있다고 느껴져서,생맥주와 비슷한 맛이다/생맥주의 맛이 좋다,,,59,,
2207,가장 입에 붙고 고소하고 계속 마시게 된다.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,맛이 고소하다,중독성이 있다,107,116,431
2208,그냥 자주 마시는 것이므로,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
2209,저렴한 국내 맥주 중에서 톡쏘는 탄산 느낌이 좋다.,가격이 저렴하다 ,톡 쏘는 맛이 있다,,11,104,
2210,맛도 좋고 김연아가 모델인게 믿음이 간다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,광고 모델이 좋다 ,신뢰가 간다,107,303,25
2211,톡쏘는 맛이 좋아서,톡 쏘는 맛이 있다,,,104,,
2212,쓴맛이 덜하고 적당한 탄산,쓴 맛이 덜 하다,탄산이 적당하다,,119,110,
2213,쓴맛보다 달달한 맛이 남,쓴 맛이 덜 하다,달콤하다/꿀맛이 난다,,119,108,
2214,즐겨먹는 맥주이며 맥주맛이 좋다. 광고도 호감이 가는 모델들이 출연했다. 보리함량이 많다고 들어서 좋아한다.,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,광고 모델이 좋다 ,3,107,303
2215,부드러운 맛과 향  저렴한 가격,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,향이 부드럽다/향이 순하다/향이 은은하다,가격이 저렴하다 ,112,211,11
2216,브드럽고 쓴맛이 적고 탄산이 적당하다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,쓴 맛이 덜 하다,탄산이 적당하다,112,119,110
2217,맛이 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2218,"카스의 깔끔한 뒷맛, 그리고 적당한 레몬향이 좋음",뒷맛이 깔끔하다,레몬 향이 있다,,153,208,
2219,맛있는음료같은맛때문,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,음료수란 느낌이 난다/음료 대용으로 좋다,,107,35,
2220,목넘김이 부드럽고 맥아 향이 진한것 같습니다. OEM으로 한국에서 생산을 하는걸로 알고 있는데 부드러움이 좋습니다,목 넘김이 부드럽다 ,맥아 향이 진하다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,171,971,112
2221,알콜이 강하지 않고 음료처럼 가볍게 마실수있다.,도수가 낮아 좋다/잘 취하지 않는다/알코올 함유량이 낮다,음료수란 느낌이 난다/음료 대용으로 좋다,,84,35,
2222,맛과 향이 좋아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,향이 좋다,,107,204,
2223,음 친숙해서 그런거 같아요 제가 좋아하는 맥주거든요,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,3,3,
2224,음 일단 맛이 좋아서 상표도 좋게 보이는것 같고요 단일색 계통에 단순하면서 머라고 할까 멋있다고 해야할까 또 기억에 잘남아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,병 색상이 깔끔하다/색상이 깔끔하다,멋스럽다,107,284,505
2225,목넘김이 좋고 부드럽다. 여자들과 마실 때 주로 마신다.,목 넘김이 좋다 ,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,여성적이다/여성이 마시기에 좋다,173,112,30
2226,부드러워서..톡쏘는게 약해서,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,톡 쏘지 않아 좋다/톡 쏘는 맛이 지나치지 않다,,112,121,
2227,친구가 그게 제일 맛있다고 한 뒤로 습관적으로,주변에서 추천하는 맥주다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,179,107,3
2228,흑맥주를 좋아하는데 가장 맛있고 가격 대비 품질이 아주 훌륭함,흑맥주를 좋아한다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,품질이 우수하다,69,107,124
2229,맛이 가장 나에게 맞아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2230,깔끔한 뒷맛,뒷맛이 깔끔하다,,,153,,
2231,가격도 저렴하고 맛도 나쁘지 않다,가격이 저렴하다 ,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,11,107,
2232,뒷맛이 깔끔해서,뒷맛이 깔끔하다,,,153,,
2233,대중적이고 저렴한 가격,대중적/보편적이다,가격이 저렴하다 ,,22,11,
2234,거품이많고 맛이좋다,거품이 많다/거품이 풍부하다/거품 맛이 진하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,67,107,
2235,"맛이 좋고,대중적임",맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,대중적/보편적이다,,107,22,
2236,맛이좋고 갈증해소에 좋다 가볍게마시기가 편하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,갈증해소에 좋다,가볍게/무난하게/부담 없이 마실 수 있다,107,604,601
2237,맛이 좋아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2238,맛이 나에게 맞다. 오래 먹어온것도 있고,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,107,3,
2239,맥주가 부드럽고 맛있다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,112,107,
2240,내 입맛에 맞아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2241,상표보단 맛,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2242,af,불량응답,,,0,,
2243,"보통의 맥주보다 훨씬 깔끔한 맛으로 목 넘김이 편하고, 칼로리 또한 낮아 덜 부담스럽게 즐길 수 있다.",맛이 깔끔하다,목 넘김이 부드럽다 ,칼로리가 적다/다이어트에 좋다,102,171,46
2244,맛있음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2245,탄산이 많아 따끔거림이 좋다,탄산이 풍부하다,톡 쏘는 맛이 있다,,61,104,
2246,광고에서 많이 접했기 때문이고  마셨을때에 가장 입맛에 맞고  깔끔하다라는 느낌을 가장 많이 받은 맥주이다.  맛있다.,광고를 많이 한다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,맛이 깔끔하다,302,107,102
2247,목넘김이 좋아서.,목 넘김이 좋다 ,,,173,,
2248,"상표를 자세히 본 적은 없는데, 한꺼번에 모아놓은 상표를 보니깐 나의 눈에 제일 뛰어서 좋아보인다.",상표 글자가 눈에 띈다,,,775,,
2249,깔끔하고 한눈에 들어온다,깔끔하다,눈에 잘 들어온다 ,,1,8,
2250,알콜도수가 높아서,도수가 높다/빨리 취해서 좋다,,,610,,
2251,맛이 진하다,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,,,115,,
2252,먹었을 때 목넘김이 제일 좋았던 맥주!,목 넘김이 좋다 ,,,173,,
2253,달달하고 맛있어서,달콤하다/꿀맛이 난다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,108,107,
2254,상표가 간결하고 눈에 잘들어오고 고급스럽기 때문에 믿음이 간다,상표가 깔끔하다,상표 글자가 눈에 띈다,상표 디자인이 고급스럽다,677,775,334
2255,톡쏘는 맥주의 특유한 맛이 좋아서,톡 쏘는 맛이 있다,맥주 기본/특유의 맛이 잘 살아있다,,104,54,
2256,김연아 광고,광고 모델이 좋다 ,,,303,,
2257,제일많이접할수있고 가볍게마실수있어서,구입이 용이하다,가볍게/무난하게/부담 없이 마실 수 있다,,21,601,
2258,시원함  이미지가 좋음,시원하다,,,2,,
2259,맛이 깔끔해서. 외국에서 자주 마셨다.,맛이 깔끔하다,수입산이라 좋다,,102,85,
2260,순해서,순하다,,,39,,
2261,알콜 느낌이 안나면서 마시기 좋고 맛있고 취한다.,도수가 낮아 좋다/잘 취하지 않는다/알코올 함유량이 낮다,마시기 편하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,84,613,107
2262,맥스는 카스나 다른 맥주들과는 달리 목넘김이 부드럽다. 개인적으로 톡쏘는 맥주를 마시면 포만감을 많이 느끼기때문에 목넘김이 부드럽고 탄산이 덜 한 맥스를 선호한다.,목 넘김이 부드럽다 ,탄산이 적다/탄산이 강하지 않다,,171,75,
2263,병 모양이 이쁘다.  색깔이 이쁘다.  무슨술 먹지 할때 선택하기에 비교적 편하다.,디자인이 예쁘다,색상이 예쁘다,,253,281,
2264,맛이 깔끔하고 목넘김이 좋다.,맛이 깔끔하다,목 넘김이 좋다 ,,102,173,
2265,맥주 맛이 좋기때문에 브랜드자체가 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,브랜드가 좋다/브랜드 이미지가 좋다,,107,19,
2266,세련된 이미지 이고 마이 좋다,세련됐다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,627,107,
2267,"다른 맥주들에 비해서 너무 맛있다.  목넘김도 좋고, 맛도 살끔하고. 산도도 마음에 든다.  시원하게해서 탄산이 많게 먹어도  콜라를 먹듯이 목이 따깝거나 하지 않으면서도 청량감이 넘친다.  그리고 거품을 보면 알겠지만, 굉장히 찰지다. 쌉싸래하고 쓴 맛도  매력있다. 거품과 맥주를 같이 먹는 맛이 있다.  그리고 아사히 생맥을먹고나면 꼭 생기는 엔젤링을 보는 재미도 있다.",맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,목 넘김이 좋다 ,맛이 깔끔하다,107,173,102
2268,목넘김이 부드러워서  그리고 거품이 부드러움,목 넘김이 부드럽다 ,거품이 부드럽다,,171,183,
2269,맛이좋습니다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2270,맛이 좋아서이고 즐겨먹던 거라서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,107,3,
2271,맛이좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2272,냄새가 좋고 맛있어서   계속 먹어와서 입맛에 맞다,향이 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,204,107,3
2273,다른맥주는 먹다보면 쓴맛이 느껴지거나 해서 먹다가 버리곤했는데 버드와이저는 그렇게 쓰지 않아서인지 이상하게 끝까지 먹을수가 있어서,쓴 맛이 덜 하다,,,119,,
2274,맛있어서... 좀 부드럽고....,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,,107,112,
2275,부드러움,부드럽다,,,14,,
2276,무난하고 맛이제일 괜찮은듯,맛이 무난하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,58,107,
2277,달콤해서,달콤하다/꿀맛이 난다,,,108,,
2278,다른 맥주들보다 훨씬 맛있는 것 같다 딴건 맛없음,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2279,"고소한 옥수수 맛, 목넘김",맛이 고소하다,옥수수 맛이 좋다,목 넘김이 좋다 ,116,981,173
2280,늘먹어왔던거라,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
2281,예전부터 애용하고 믿음이 감,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,신뢰가 간다,,3,25,
2282,부드럽고 맛있음,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,112,107,
2283,부드러운 맛과 깔끔함 때문에,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,맛이 깔끔하다,,112,102,
2284,눈에 잘들어오는 상표에 맥주의 맛이 저와 잘 맞는 것 같기 때문,상표 글자가 눈에 띈다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,775,107,
2285,시원하고 깔끔하다..,시원하다,깔끔하다,,2,1,
2286,시원해서 톡쏘는 맛이 나와 재일 잘 맞다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,톡 쏘는 맛이 있다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,103,104,107
2287,광고모델인 김연아가 맘에들어서  그리고 하이트 맥주공장에 다녀온경험이 있는데  맛이있어써,광고 모델이 좋다 ,공장을 견학했다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,303,734,107
2288,뒷맛이 깔끔하고 깨끗하다,뒷맛이 깔끔하다,,,153,,
2289,"무난한 맛, 가격, 모델이 좋음",맛이 무난하다,가격이 저렴하다 ,광고 모델이 좋다 ,58,11,303
2290,하이트 이후에 처음접한 맥주가 카스였고    그때부터 쭉 마시다 보니 다른 맥주를 마시면 뭔가    맛이 다른느낌 입니다. 카스가 그냥 톡 쏘는 맛이 강한거 같애요,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,톡 쏘는 맛이 있다,,3,104,
2291,맥주맛이 시원해서,맛이 시원하다/맛이 상쾌하다/청량감이 있다,,,103,,
2292,목넘김이 좋고 기포감도 산뜻함,목 넘김이 좋다 ,거품 맛이 산뜻하다,,173,942,
2293,독일이라,정통 독일 식 맥주 맛이 난다,,,416,,
2294,진한 커피향맛,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,커피 향이 난다,커피 맛이 난다,115,201,531
2295,칼로리가 다른거에 비해 낮고 낮은 칼로리에 비해 맥주의 시원한 맛이 맛있음.,칼로리가 적다/다이어트에 좋다,맛이 시원하다/맛이 상쾌하다/청량감이 있다,,46,103,
2296,금색으로 귀품있어 보임,색이 고급스럽다,,,720,,
2297,일단 맛있어요 음.. 다른 카스나 하이트 보다 좀더 깊고 짙은 맛이랄까?  좀 하드한 드라이한 맛 인거 같애요  원빈 광고도 멋있었구요.ㅋㅋㅋㅋㅋㅋㅋ  무튼 요즘 저에게는 핫! 한 맥주 입니다^^,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,맛이 풍부하다/맛이 깊다,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,107,70,115
2298,도수가 세지 않고 과일향에 간단히 부담없이 마실 수 있어서,도수가 낮아 좋다/잘 취하지 않는다/알코올 함유량이 낮다,과일 향이 난다,마시기 편하다,84,77,613
2299,호가든은 맥주거품이 부드럽고   향이 박하향이 나서 좋습니다.,거품이 부드럽다,박하 향이 좋다,,183,972,
2300,맥주맛이 부드럽고 목넘김이 편하다,맛이 순하다/맛이 부드럽다/맛이 독하지 않다,목 넘김이 부드럽다 ,,112,171,
2301,맥주가 부드럽다,부드럽다,,,14,,
2302,맥주 넘길 때 대부분 '캬~~'하는데 '맥주 뭐 드릴까요?'하면 그 생각이 먼저 떠올라 자연스럽게 카~스 달라고 합니다.,맥주를 마시고 카 하는 소리와 유사하다,,,634,,
2303,제일 많이 봄,대중적/보편적이다,,,22,,
2304,심플하고 맥주마실때 나는 소리랑 비슷하고 기억에 잘 남을거 같아서,심플하다,맥주를 마시고 카 하는 소리와 유사하다,브랜드가 기억에 남는다/브랜드 명이 귀에 쏙 들어온다,41,634,369
2305,그냥자주먹는다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
2306,먹어도 배가 덜 부르고 깔끔한듯,포만감이 덜 하다,깔끔하다,,12,1,
2307,국내 맥주 중 진한 맛 일등!,맛이 진하다/강하다/맛이 거칠다/맛이 싱겁지 않다/맛이 타이트하다,,,115,,
2308,"맥주의 기본인 맛이 깔끔하고 비린내가 없어 입에 잘 맞고,  병도 디자인과 용량이 적당하여 좋아합니다.",맛이 깔끔하다,맥주 따를 때 향이 없다/맥주 향이 없어 좋다/맥주의 누린내가 없다,디자인이 좋다,102,206,254
2309,대중적,대중적/보편적이다,,,22,,
2310,거품이 부드럽고 탄산이 강하지않아서.,거품이 부드럽다,탄산이 적당하다,,183,110,
2311,맛이 좋아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2312,구수한 맛이 다른 국산 맥주보다 낫다,맛이 고소하다,,,116,,
2313,국산중에서 제일 나의 입맛에 맛있어서.,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2314,내가 자주 마시는 맥주여서,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,,,3,,
2315,자주 마시고 톡쏘는 맛이 입에 착 감김,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,톡 쏘는 맛이 있다,,3,104,
2316,청량감과 톡쏘는 맛이 약간 떨어지긴 하지만 기존의 카스보다 칼로리가 적기 때문,칼로리가 적다/다이어트에 좋다,,,46,,
2317,오래된 브랜드라 친숙하고 맛도 괜찮아서 계속 선택하게 된다,전통 있다,친근하다/오랫동안 마셔 와 익숙하다/맛이 익숙하다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,366,3,107
2318,맛이 좋다,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
2319,맛이 좋아서,맛이 좋다/취향에 맞는 맛이다/입맛에 맞는다,,,107,,
