KEY,doc,raw_doc_tu
2268_0,목넘김이 부드러워서 그리고,목 넘기 부드럽
2268_1,거품이 부드러움,거품 부드럽
2269,맛이좋습니다,맛
2270_0,맛이 좋아서이고,맛
2270_1,즐겨먹던 거라서,즐기
2271,맛이좋다,맛
2272_0,냄새가 좋고,냄새
2272_1,맛있어서 계속 먹어와서 입맛에 맞다,맛있 입맛
2273,다른맥주는 먹다보면 쓴맛이 느껴지거나 해서 먹다가 버리곤했는데 버드와이저는 그렇게 쓰지 않아서인지 이상하게 끝까지 먹을수가 있어서,맥주 쓴맛 느끼 버드와이저 그렇 이상 끝 수
2274,맛있어서 좀 부드럽고,맛있 부드럽
2275,부드러움,부드럽
2276_0,무난하고,무난
2276_1,맛이제일 괜찮은듯,맛 이제 괜찮 듯
2277,달콤해서,달콤
2278_0,다른 맥주들보다,맥주
2278_1,훨씬 맛있는 것 같다,맛있 것
2278_2,딴건 맛없음,건 맛없
2279,고소한 옥수수 맛 목넘김,고소 옥수수 맛 목 넘기
2280,늘먹어왔던거라,거
2281_0,예전부터 애용하고,예전 애용
2281_1,믿음이 감,믿음 감
2282_0,부드럽고,부드럽
2282_1,맛있음,맛있
2283,부드러운 맛과 깔끔함 때문에,부드럽 맛 깔끔 때문
2284,눈에 잘들어오는 상표에 맥주의 맛이 저와 잘 맞는 것 같기 때문,눈 들어오 상표 맥주 맛 저 것 때문
2285_0,시원하고,시원
2285_1,깔끔하다,깔끔
2286,시원해서 톡쏘는 맛이 나와 재일 잘 맞다,시원 맛 나오 재일
2287_0,광고모델인 김연아가 맘에들어서 그리고,광고 모델 김연아 맘
2287_1,하이트 맥주공장에 다녀온경험이 있는데 맛이있어써,하이트 맥주 공장 다녀오 경험 맛
2288_0,뒷맛이 깔끔하고,뒷맛 깔끔
2288_1,깨끗하다,깨끗
2289,무난한 맛 가격 모델이 좋음,무난 맛 가격 모델
2290_0,하이트 이후에 처음접한 맥주가 카스였고,하이트 이후 처음 접하 맥주 카스
2290_1,그때부터 쭉 마시다,그때 마시
2290_2,보니 다른 맥주를 마시면 뭔가 맛이 다른느낌 입니다,맥주 마시 뭐 맛 느낌
2290_3,카스가 그냥 톡 쏘는 맛이 강한거 같애요,카스 맛 강하 거
2291,맥주맛이 시원해서,맥주 맛 시원
2292_0,목넘김이 좋고,목 넘기
2292_1,기포감도 산뜻함,기포 감 산뜻
2293,독일이라,독일
2294,진한 커피향맛,진하 커피 향 맛
2295_0,칼로리가 다른거에 비해 낮고,칼로리 거 비하
2295_1,낮은 칼로리에 비해 맥주의 시원한 맛이 맛있음,칼로리 비하 맥주 시원 맛 맛있
2296,금색으로 귀품있어 보임,금색 귀 품 보이
2297_0,일단 맛있어요 음 다른 카스나 하이트 보다,맛있 음 카스 하이트
2297_2,짙은 맛이랄까 좀 하드한 드라이한 맛 인거 같애요 원빈 광고도 멋있었구요 무튼 요즘 저에게는 핫 한 맥주 입니다,맛 하드 드라이 맛 인 거 원빈 광고 멋있 무트 요즘 저 핫 맥주
2298_0,도수가 세지 않고,도수
2298_1,과일향에 간단히 부담없이 마실 수 있어서,과일 향 부담 마시 수
2299_0,호가든은 맥주거품이 부드럽고,호가든 맥주 거품 부드럽
2299_1,향이 박하향이 나서 좋습니다,향 박 하향 나서
2300_0,맥주맛이 부드럽고,맥주 맛 부드럽
2300_1,목넘김이 편하다,목 넘기 편하
2301,맥주가 부드럽다,맥주 부드럽
2302_0,맥주 넘길 때 대부분 캬하는데 맥주 뭐 드릴까요하면 그 생각이 먼저 떠올라 자연스럽게 카스 달라고,맥주 넘기 때 대부분 맥주 뭐 드리 생각 떠오르 자연 카스
2303,제일 많이 봄,제일 봄
2304_0,심플하고,심플
2304_1,맥주마실때 나는 소리랑 비슷하고,맥주 마실 때 나 소리 비슷
2304_2,기억에 잘 남을거 같아서,기억 거
2306_0,먹어도 배가 덜 부르고,배 부르
2306_1,깔끔한듯,깔끔 듯
2307,국내 맥주 중 진한 맛 일등,국내 맥주 중 진하 맛 일등
2308_0,맥주의 기본인 맛이 깔끔하고,맥주 기본 맛 깔끔
2308_1,비린내가 없어 입에 잘 맞고,비린내 입
2308_2,병도 디자인과 용량이 적당하여 좋아합니다,병 디자인 용량 적당 좋아하
2309,대중적,대중
2310_0,거품이 부드럽고,거품 부드럽
2310_1,탄산이 강하지않아서,탄산 강하
2311,맛이 좋아서,맛
2312_0,구수한 맛이 다른 국산 맥주보다,구수 맛 국산 맥주
2313,국산중에서 제일 나의 입맛에 맛있어서,국산 중 제일 나 입맛 맛있
2314,내가 자주 마시는 맥주여서,내 마시 맥주
2315_0,자주 마시고,마시
2315_1,톡쏘는 맛이 입에 착 감김,맛 입 감기
2316_0,청량감과 톡쏘는 맛이 약간 떨어지긴 하지만 기존의 카스보다,청량감 맛 떨어지 기존 카스
2316_1,칼로리가 적기 때문,칼로리 때문
2317_0,오래된 브랜드라 친숙하고,오래되 브랜드 친숙
2317_1,맛도 괜찮아서 계속 선택하게 된다,맛 괜찮 선택
2318,맛이 좋다,맛
2319,맛이 좋아서,맛
2320,맛있다,맛있
2321_0,다른 맥주에 비해서 부드럽고,맥주 비하 부드럽
2321_1,맛이 진하고,맛 진하
2321_2,색감도 먹음직스러워요,색감
2322,밀러 생맥주의 크리미한 느낌이 너무 좋아서 밀러를 좋아한다,밀러 맥주 크리미 느낌 밀러 좋아하
2323,맛이 좋다,맛
2324_0,맛있다,맛있
2324_1,깔끔하고,깔끔
2324_2,먹기쉬운 술,술
2325_0,병 디자인이 심플하며 매력적이다,병 디자인 심플 매력
2325_1,맛도 깔끔하고,맛 깔끔
2325_2,부드럽다,부드럽
2325_3,그동안 자세히 생각은 안해봤었는데 외국산 맥주에 대한 이미지가 살짝 고급스럽거나 하는 것도 내가 호가든에 대해 호의적으로 생각하는데 대한 이유가 될것같다,그동안 생각 안 외국산 맥주 대하 이미지 고급 것 내 호가든 대하 호의 생각 대하 이유 것
2326_0,카아스 소리가 맥주마시고,카아스 소리 맥주 마시
2326_1,캬하는것과 비슷해서 그냥 끌린다,것 비슷 끌리
2327_0,맛이 좋다,맛
2327_1,다른 맥주보다,맥주
2327_2,깔끔하고,깔끔
2327_3,잘 넘어간다,넘어가
2328,카프리가 전반적으로 맛이 부드럽다,카프리 전반 맛 부드럽
2329,사는 지역에 거의 화이트만 있어서,지역 화이트
2330,부드러운 마시 달콤한 향기,부드럽 마시 달콤 향기
2331_0,맛이 깔끔합니다,맛 깔끔
2331_1,내 입맛에 맞음,내 입맛
2332_0,맥주순수령에 잘 부합하는 맥주이고,맥주 순 수령 부합 맥주
2332_1,첨가물이 적어서 좋다,첨가 물
2332_2,또한 맥주의 이미지가 깨끗하고,맥주 이미지 깨끗
2332_3,부드러우면서도 결코 싸보이지 않는 것에서 호감이 간다,부드럽 보이 것 호감
2333,국산이라는 점과 시원한 맛,국산 점 시원 맛
2334_0,부드럽고,부드럽
2334_1,맛있어서,맛있
2335_0,접하기 쉽고,접하
2335_1,저렴하다,저렴
2336,목넘김이 부드러워서,목 넘기 부드럽
2337,깔금해서 목넘김이 시원하다,금 목 넘기 시원
2338_0,맛이 깔끔하고,맛 깔끔
2338_1,부드러움,부드럽
2339,친근해,친근
2340_0,거품이 부드럽고,거품 부드럽
2340_1,목넘김이 좋다,목 넘기
2341,맛있다,맛있
2342_0,부드럽고,부드럽
2342_2,탄산이 적당해서 맥주맛이 더 풍부하게 느껴진다,탄산 적당 맥주 맛 풍부 느끼
2343_0,평소에 계속마셔서 그런지 이술이 가장 익숙함 목넘김이 시원하고,평소 마시 그렇 술 익숙 목 넘기 시원
2343_1,계속먹어도 질리지 않음 그래서 자주 마시게됨 한캔정도는 부담없음 거품도 풍부하고,질리 마시 캔 정도 부담 거품 풍부
2343_2,입맛에 맞음,입맛
2344,다른 맥주에 비해 도수가 높아 빨리 취할수 있어서,맥주 비하 도수 취하 수
2345_0,뭔가 친근감있고,뭐 친근감
2345_1,오래된상표,오래되 상표
2346,톡쏘는 느낌이 좋다,느낌
2347,맛있어서 풍부한 맛이 좋아서 맥주 상표에 어울려서,맛있 풍부 맛 맥주 상표 어울리
2348,부드러워서,부드럽
2349_0,톡쏘는맛이 다른 맥주보다,맛 맥주
2349_1,시원함,시원
2350,맛,맛
2351,선전이 맘에 들어서,선전 맘
2352_0,맛이 깊고,맛
2352_1,진하면서 싸다,진하
2353,상표 이미지가 좋다,상표 이미지
2354,맛이 좋아서,맛
2355,주위사람들이 좋아해서,주위 사람 좋아하
2356_0,흑맥을 주로 좋아한다,흑 맥 좋아하
2356_1,기네스는 깊은 맥주맛이 있어서 개인적으로 묵직한 목넘김을 선호한다,기네스 맥주 맛 개인 묵직 목 넘기 선호
2356_2,그래서 가장 좋아한다,좋아하
2356_3,조금 비싸지만,비싸
2357,맛과 병모양,맛 병 모양
2358,거품이 부드러워 목넘길때 기분이 좋다,거품 부드럽 목 넘기 때 기분
2359,내 입맛에 맞음,내 입맛
2360_0,이름에서도 깔끔한 맥주 맛과 고급스러움 그리고,이름 깔끔 맥주 맛 고급
2360_1,진취적이고,진취
2360_2,활동적인 연봉 높은 직장인들의 분위기가 난다,활동 연봉 직장인 분위기
2361_0,맛이 좋아요 그리고,맛
2361_1,상표가 참 이쁩니다,상표 이쁘
2361_2,달콤할거 같은 느낌,달콤 거 느낌
2362_0,집에서 마실 때 자주 먹는 브랜드다,집 마시 때 브랜드
2362_1,목넘김이 좋다,목 넘기
2362_2,예전부터 꾸준히 먹고,예전
2363,산뜻한 이미지에 맛도 다른 맥주에 비해 목넘김이나 입감이 좋음,산뜻 이미지 맛 맥주 비하 목 넘기 입 감
2364,맛잇다,맛
2365_0,차승원이 선전하는 광고도 맘에 들고,차승원 선전 광고 맘
2365_1,외국에서 먹었을때의 맛을 잊지 못해서 자주 먹는다,외국 때 맛
2366_0,맥주만 파는곳에 아는 형이랑 처음 갔을때 그 형이 저한테 무슨 맥주 먹냐고해서 저는 그냥 아무거나 먹는다고,맥주 곳 형 처음 때 형 저 맥주 저 아물
2366_1,하니까 형이 그럼 안된다고,형 안
2366_2,네 입맛에 맞는걸 오늘 골라보자해서 거기 있는맥주를 거의다,입맛 것 오늘 고르 거기 맥주
2366_4,그 중에 밀러가 저한테 가장 맞고,중 밀러 저
2366_5,지금도 밀러를 주로 먹습니다,지금 밀러
2367_0,심플하고,심플
2367_1,깔끔한 맛,깔끔 맛
2368_0,톡쏘는 맛이 좋고,맛
2368_1,개운한 듯 느낌을 준다,개운 듯 느낌
2369,맛과향,맛 과 향
2370_0,저렴하고,저렴
2370_1,시원함,시원
2371_1,목넘김이 좋다,목 넘기
2372,깔끔함  입맛에 맞아서,깔끔 입맛
2373,아사히 맥주랑 맛이 비슷해서 아사히 맥주의 대체품으로 만족,아사히 맥주 맛 비슷 아사히 맥주 대체 품 만족
2374,좋아하는 맥주라서,좋아하 맥주
2375_0,시원하고,시원
2375_1,목넘김이 좋다,목 넘기
2376,쏘는 맛과 뒷맛이 깔끔해서,맛 뒷맛 깔끔
2377_0,평소 맥주보단 소주를 더 많이 마시는 편인데 오비골든라거는 다른 맥주보다,평소 맥주 소주 마시 편 오비 골든 라 것 맥주
2377_1,더 깔끔하고,깔끔
2377_2,시원한 맛이 나는 것 같다,시원 맛 나 것
2377_3,특히 야구장에 가면 맥주를 많이 마시게 되는데 그럴 때 애용하는 편이다,야구장 맥주 마시 그렇 때 애용 편
2378,음료수같이 거부감이 없다,음료수 거부감
2379,맛있어서,맛있
2380,레몬맛이 맛있게 느껴지는 고품격 센스있는 맥주,레몬 맛 맛있 느끼 품격 센스 맥주
2382_0,친근감 그리고,친근감
2382_1,자주마셔보니까 친근하게 느겨짐,마시 친근 느 겨 짐
2383,옛날부터 마시던거라서 좀더 친근한느낌,옛날 마시 거 친근 느낌
2384,거품이 굉장히 부드러움,거품 부드럽
2385_0,목넘김이 부드럽고,목 넘기 부드럽
2385_1,맥주맛이 좋다,맥주 맛
2386,깨끗한맛,깨끗 맛
2387,시원한맛 젊음 소맥할때 제일 맛있음,시원 맛 젊음 소맥 때 제일 맛있
2388,부르기 편함,부르 편하
2389,맛이 부드럽다,맛 부드럽
2390_1,친구들이랑 자주 마셔서,친구 마시
2391,국산맥주중에 맛이 가장 좋다,국산 맥주 중 맛
2392,맛이 부드러워,맛 부드럽
2393_0,광고가 맥주를 먹고,광고 맥주
2393_1,싶게 만들었음,만들
2394_0,부드럽다,부드럽
2394_1,특히 아사히 생의 경우 거품이 부드러워좋다,아사히 생 경우 거품 부드럽
2395_0,깔끔하고,깔끔
2395_1,맛이 괜찮습니다,맛 괜찮
2396_0,첫째로는 광고가 맘에들어서 광고에나오는 아이돌 2ne1의 CL 을 좋아하기떄문에 그리고,첫째 광고 맘 광고 나오 아이돌 2ne1 을
2396_1,두번째는 카스 라이트가 맛이 깔끔하고,번 카스 라이트 맛 깔끔
2396_2,현 맥주중에서 제일 맛있습니다,맥주 중 제일 맛있
2397,캔 병 이뻐서,병 이쁘
2398,맥주 맛이 좋아서,맥주 맛
2399,다른맥주에 비에 맛이 좋다,맥주 비 맛
2400,맛있어요,맛있
2401,맛,맛
2402_0,알콜성분 도수가 그렇게 높지않고,알콜 성분 도수 그렇
2402_1,적당히 쏘는것이 좋아서 여자들이 부담없이 먹을수있으니까,것 여자 부담 수
2403,그냥 대중적이라서김연아 관고가 한몫 했음,대중 서 김연아 관고 한몫
2404,맛있어서,맛있
2405_0,광고로도 자주 접해서 그런지 이미지가 좋아보이고,광고 접하 그렇 이미지 보이
2405_1,친구들과 자주 먹다보니 더 손이 가는 것 같습니다,친구 손 것
2405_2,맛도 나쁘지 않구요,맛 나쁘
2406,깨끗함 순수함 정통의,깨끗 순수 정통
2407_0,술이라는 느낌보다는 탄산음료를 마신다는 느낌이 강해서 부담없이 마실 수 있으면서 맥주를 마셨을 때처럼 알딸딸해지는 느낌도 있으니 술을 잘 마시는 편이 아닌 나에게는 딱 좋은 맥주라고,술 느낌 탄산음료 마시 느낌 강하 부담 마시 수 맥주 마시 때 알 딸 딸 느낌 술 마시 편 나 맥주
2407_1,생각한다,생각
2407_2,맛도 여러가지라서 취향에 맞게 고를 수 있고,맛 가지 취향 고르 수
2407_3,무엇보다,무엇
2407_4,맛이 좋다,맛
2408_0,칼로리는 낮으면서 탄산이 많아서 좋습니다,칼로리 탄산
2408_1,더불어 맥주 고유의 향인 보리 냄새가 많이 안나서 좋습니다,더불 맥주 고유 향 보리 냄새 나서
2409,여자들이 좋아하는 레몬맛이 첨가되어 있기 때문에,여자 좋아하 레몬 맛 첨가 때문
2410_0,깔끔해서 보기가 좋다,깔끔
2410_1,시원한 느낌이 들어서 맥주 마실때의 상쾌한 기분이 느껴진다,시원 느낌 맥주 마실 때 상쾌 기분 느끼
2411,구수함과 깊은 맛에 반했죠 ,구수 맛 반하
2412,그냥 입맛에 가장 적당한 것 같아요 시지도 않고,입맛 적당 것 시지
2413,맛있어서,맛있
2414_0,주변 사람들이 즐겨 마시다보니 그 맛에 길드여짐 거기다,주변 사람 즐기 마시 맛 길드 거기
2414_1,톡 쏘는 맛이 좋아서 즐겨마심,맛 즐기 마시
2415,맛이 비교적 순해서,맛 비교 순
2416,시원한 느낌,시원 느낌
2418_0,맥주의 맛이 깔끔하고,맥주 맛 깔끔
2418_1,맛있다,맛있
2419,진한 풍미가 느껴져서 좋다,진하 풍미 느끼
2420,산뜻해서 좀 간편하게 먹을 수 있는 기분 카프리 한병 정도,산뜻 간편 수 기분 카프리 병 정도
2421,맥주가 맛있어서,맥주 맛있
2422_0,맥주 맛이 좋고,맥주 맛
2422_1,맥주 중에서 제일 괜찮다,맥주 중 제일 괜찮
2423_0,집에서 자주 먹는 캔맥주가 하이트이기 때문에 처음 접한 맥주가 하이트였다,집 캔 맥주 하이트 때문 처음 접하 맥주 하이트
2423_1,그래서 다른 맥주를 마시면 뭔가 다른느낌이났기때문에 하이트를 찾게되었다,맥주 마시 뭐 느낌 때문 하이트
2423_2,하이트에 이미 적응을 한것 같다,하이트 적응 것
2424,깔끔한맛,깔끔 맛
2425,맛있어서,맛있
2426_0,맛이 부드럽고,맛 부드럽
2426_1,목넘김이 깔끔하다,목 넘기 깔끔
2427,부드러움 과 깔끔함 맛이 인상깊음 ,부드럽 과 깔끔 맛 인상
2428,맛이 좋다,맛
2430,다른 맥주에 비해 맛이 깔끔,맥주 비하 맛 깔끔
2431_0,시원하고,시원
2431_1,깨끗해서 좋다,깨끗
2432,맛있어서,맛있
2433,맛있음,맛있
2434,고소한맛때문,고소 맛 때문
2435,부드러운 맥주,부드럽 맥주
2436_0,맥주하면 떠오르는 원조의 이미지 부산의 대표 주종인 것 같고,맥주 떠오르 원조 이미지 부산 대표 주종 것
2436_1,친근한 느낌이다,친근 느낌
2437,부드러움,부드럽
2438_0,배부름이 덜해서 좋다,배부르 덜하
2438_1,맥주의 단점은 배가 금방 부르다는 것을 해결해주는 제품이다,맥주 단점 배 부르 것 해결 제품
2439,부드러워서,부드럽
2440,특별한 향,특별 향
2441,이유는 부드러움과 톡쏘는 맛때문입니다,이유 부드럽 맛 때문
2442,맛있음 깔끔함,맛있 깔끔
2443_0,맛있고,맛있
2444_0,오직 맛 진짜 맥주 맛 국산과 비교불가의 품질 그리고,맛 맥주 맛 국산 비교 불가 품질
2445,음료같이 시원한 맛 청량감 톡쏘는 느낌,음료 시원 맛 청량감 느낌
2446,시원하다,시원
2447,칼로리가 낮은것이 좋으며 시원한 분위기이다,칼로리 것 시원 분위기
2448,맛있으니가,맛있
2449,항상 카스 맥주만 먹다보니까 익숙해서,카스 맥주 익숙
2450,맥주 맛이 좋아서 병이 이뻐서,맥주 맛 병 이쁘
2451,제일 맛있다,제일 맛있
2452,맛이 깔끔해서,맛 깔끔
2453,부드러운맛,부드럽 맛
2454,다른 맥주와 맛이 틀림 맛있음,맥주 맛 틀리 맛있
2455,밀러의 맛이 가장 부드러웠기 때문,밀러 맛 부드럽 때문
2456_0,저렴하고,저렴
2456_1,어디서나 구입이 가능해서,어디 구입 가능
2457,뒷맛이 깔끔하다,뒷맛 깔끔
2458_0,거품이 좋고,거품
2458_1,맛이 좋다,맛
2459,풍부한 맛,풍부 맛
2460,맥주 맛이 제일 괜찮음,맥주 맛 제일 괜찮
2461_0,시원하고,시원
2461_1,깔끔한 맛,깔끔 맛
2462,부드러운 목넘김과 고소함맛과 계속 마셔왔기때문에,부드럽 목 넘기 고소 맛 마시 때문
2463_0,이름이 정열적이고,이름 정열
2463_1,맥주하고,맥주
2463_2,잘 어울린다,어울리
2464_0,부드럽고,부드럽
2464_1,병맥을 첫모금 마셨을때 꼴딱 거리는 소리도 청하하며 디자인도 이쁘고,병 맥 모금 마시 때 꼴 거리 소리 청 하 디자인 이쁘
2464_2,마시기 부담없이 가볍게 마실수 있어서 즐겨마십니다,마시 부담 가볍 마시 수 즐기 마시
2465,시원한맛,시원 맛
2466_0,깨끗한 느낌과 마셨을 때 다른 맥주와는 다른 부드런운 목넘김이 좋아서 꾸준히 마시고,깨끗 느낌 마시 때 맥주 부 목 넘기 마시
2467,내 입맛에 맞아서,내 입맛
2468,맛이좋음,맛
2469_0,가볍지 않고,가볍
2469_1,깊은 맛 뭔가 적당히 찝찌름하고,맛 뭐
2469_2,적당히 톡 쏘는 맛 너무 쏘는 맛을 싫어한다,맛 맛 싫어하
2469_3,금색의 예쁜 캔도 맘에 든다,금색 예쁘 캔 맘
2470_0,거품이 부드럽고,거품 부드럽
2470_1,목넘김이 좋다,목 넘기
2471_0,가장 쉽게 접할 수 있고,접하 수
2471_1,맜잇기도 하여 좋아한다,잇기 좋아하
2472,맛이 있다,맛
2473_0,유명하고,유명
2473_1,맛이좋아서,맛
2474_0,국내 맥주로서외제 맥주보다는 가격에서 적당하고무엇보다,국내 맥주 외제 맥주 가격 적당 무엇
2474_1,칼로리가 낮은면에 주로 마신다,칼로리 면 마시
2475,목넘김이 좋음,목 넘기
2476,맛이 깔끔해요,맛 깔끔
2477_0,살이 덜 찔거같고,살 거
2477_1,마셨을때 시원하고,마시 때 시원
2478_0,맛이 깔끔하고,맛 깔끔
2478_1,목넘김이 부드러워서,목 넘기 부드럽
2479,거품이 보기 좋다 ,거품
2482_0,주류화시의 오랜 전통이 있으며 맛이 부드럽고,주류 시 전통 맛 부드럽
2483,맛있음 흑맥주,맛있 흑 맥주
2484_0,맛이 순하고,맛 순하
2484_1,제 입맛에 맞는것 같아요,입맛 것
2485,맛이 내입맛에 맞다,맛 내 입맛
2486_0,맛이 순하고,맛 순하
2486_1,마시기편함,마시 편하
2487,맛있음,맛있
2488_0,맛이 상큼하고,맛 상큼
2488_1,깔끔하다,깔끔
2489,거품이 맛있어서,거품 맛있
2490,목넘김이 부드러움,목 넘기 부드럽
2491_0,탄산이 적고,탄산
2491_1,뒷맛이 깔끔함,뒷맛 깔끔
2492_0,시원하고,시원
2492_1,맛이 다른 맥주보다,맛 맥주
2492_2,맛잇다,맛
2493,호모맛이좋다,호모 맛
2494,회식할때 가볍게 즐기기에 좋다,회식 때 가볍 즐기
2495_0,도수가 쎄지않고,도수
2495_1,맛있어서,맛있
2496_0,맛이 깔끔하고,맛 깔끔
2496_1,시원해서,시원
2497_0,친근감 그리고,친근감
2497_1,자주마셔보니까 친근하게 느겨짐,마시 친근 느 겨 짐
2498,고소한맛,고소 맛
2499_0,이미지가 깨끗한 느낌이라서 좋고,이미지 깨끗 느낌
2499_1,목넘김이 부드럽다칼로리도 낮춰진 제품이라서 여성이 먹기에 부담이 없게 느껴진다,목 넘기 부드럽 칼로리 낮추 제품 여성 부담 느끼
2500,맛 국내 맥주중에 제일 맛있음,맛 국내 맥주 중 제일 맛있
2501,가격대비 맥주맛을 느낄수 있음,가격 대비 맥주 맛 느끼 수
2502,칼로리가 적으면서도 맥주의 맛이 좋다,칼로리 맥주 맛
2503,청량감과 시원한 맛 때문에,청량감 시원 맛 때문
2504_0,가격이 저렴하지만 맥주의 맛은 결코 저렴하지 않고,가격 저렴 맥주 맛 저렴
2504_1,언제나 만족스럽다,만족
2505,스스로를 고급스럽게 만드는 것 같다,스스로 고급 만들 것
2506_0,목넘김이 좋고,목 넘기
2506_1,레몬을 넣어먹으면 향이 좋고,레몬 향
2506_2,맛있다,맛있
2507_0,찝찝한맛이 덜하고,덜하
2507_1,입맛에 맞는다,입맛
2508,씨엘의 광고가 마음에 듭니다,씨엘 광고 마음
2509_0,하이트가 맥주맛이 제일 낫다,하이트 맥주 맛 제일
2509_1,익숙해서 그런지는 몰라도 다른 수입맥주들은 기분전환겸 가끔가다,익숙 그렇 모르 수입 맥주 기분 전환 겸
2509_2,한번씩 먹는데 맥주살때 주저하지않고,한번 맥주 살 때 주저
2509_3,사는건 하이트뿐인거같다,건 하이트 뿐 거
2510_0,광고가 기억에 많이 남고,광고 기억
2510_1,가장 흔하게 마실 수 있는 브랜드라서 친구들과 자주 가는 호프집이나 편의점에서 구입하기 쉬워서,흔하 마시 수 브랜드 친구 호프 집 편의점 구입
2511,효소가 발효된 듯한 특유의 맛 때문에,효소 발효 듯 특유 맛 때문
2512,목넘김이 톡 쏘는 상쾌함,목 넘기 상쾌
2513,깔끔해 보인다,깔끔 보이
2514,톡 쏘는 느낌,느낌
2515_0,광고가 친근하고,광고 친근
2515_1,맛이 좋아서 엣날에 박중훈도 좋아해서 아주좋아합니다,맛 박중훈 좋아하 좋아하
2516,네임벨류 초록생병이라 뭔가 시원한 느낌,네 벨 초록 생병 뭐 시원 느낌
2517_0,비린내도 안나고,비린내
2517_1,끝맛이 달다,끝 맛
2518_0,맛이 좋다,맛
2518_1,흑맥주지만 뒷맛이 깔끔하고,흑 맥주 뒷맛 깔끔
2518_2,목넘김이 부드럽다,목 넘기 부드럽
2518_3,거품이 특히 좋고,거품
2518_4,커피같은 깊은맛도 느껴진다,커피 맛 느끼
2519,시원함과 톡쏘는맛,시원 맛
2520,맛이 괜찮음,맛 괜찮
2521,가장 친근하다,친근
2522_0,예쁘고,예쁘
2522_1,익숙해서 개인적으로 좋아하는 브랜드임,익숙 개인 좋아하 브랜드
2523,진함,진하
2525,부드러운 목넘김 상쾌함 지금은 장동건이 선전하진 않지만 장동건의 이미지가 남아있음,부드럽 목 넘기 상쾌 지금 장동건 선전 장동건 이미지
2526,시원함,시원
2527,가장 대중적으로 많이 먹어서 가장 입맛에 맞다,대중 입맛
2528_0,버드와이저의 특유의 고소함이 좋다,버드와이저 특유 고소
2528_1,목넘김도 나쁜편이 아니고,목 넘기 나쁘 편
2529,브랜드 네이밍이 지역에 기반한것이라 삿포로에 대한 이미지가 맥주에 대입됨 하얀눈 깨끗함 맑으면서 상쾌함 등의 느낌이 삿포로 맥주와 오버랩되면서 좋아하게 되었음,브랜드 지역 기반 것 삿포로 대하 이미지 맥주 대입 하얗 눈 깨끗 상쾌 등 느낌 삿포로 맥주 오버랩 좋아하
2530_0,가격이 다른 병맥주에 비해서 비싸지 않고,가격 병 맥주 비하 비싸
2530_1,맞이 좋다,맞이
2530_2,브랜드인지도 또한 있어서 즐겨 마신다,브랜드 즐기 마시
2531,상표가 이뻐서,상표 이쁘
2532_0,상큼하고,상큼
2532_1,목넘김이 부드럽다,목 넘기 부드럽
2533,맛이 좋아서,맛
2534_0,텁텁하지 않고,텁텁
2534_1,깔끔하다,깔끔
2534_2,레몬향이 첨가되서 마신 후에 숙취도 별로 없을 것 같은 느낌이다,레몬 향 첨가 마시 후 숙취 것 느낌
2535,그냥 좋은데 구체적으로 말하긴 힘듬,구체 말 힘들
2536,맛,맛
2537_0,목에 넘기는 청량감이 좋고,목 넘기 청량감
2537_1,맛있음 디자인도 좋음,맛있 디자인
2538_0,왠지 다른 맥주보다,맥주
2538_1,더 고소한 맛이 더 끌린다,고소 맛 끌리
2539,기억하기 쉽다,기억
2540_0,대중적이고,대중
2540_1,톡쏘는맛이 자꾸 먹게만든다,맛 만들
2541,맛이 있다,맛
2542,맛있어서,맛있
2543_0,목넘김이 좋고,목 넘기
2543_1,맥주에서 나는 향이 좋습니다,맥주 나 향
2544,뒷맛이 깔끔하다,뒷맛 깔끔
2545_0,깔끔한 글씨체도 좋고,깔끔 글씨체
2545_1,검은색과 잘어울림,검은색 어울리
2546_0,요즘들어부쩍파는곳이많다,요즘 곳
2546_1,맥주맛이 부드러운것 같다,맥주 맛 부드럽 것
2547,마셨을때 맛있어서,마시 때 맛있
2549,시원합,시원 합
2551,시원한 맛이좋다,시원 맛
2552,맛이있음,맛
2553,맛있어성,맛있
2554,특유의 향,특유 향
2555,목넘김이 좋아서,목 넘기
2556_0,카스 하이트 맥주랑 비교했을때 가격차이 안나고,카스 하이트 맥주 비교 때 가격 차이
2556_1,맥주의 비릿한 냄새가 없어서 좋음,맥주 비릿 냄새
2557_0,맛이진하다,맛 진하
2557_1,시원하다,시원
2558_0,시원하고,시원
2558_1,맛있다,맛있
2559,맛있어서,맛있
2560,끝맛이 좋아서,끝 맛
2561,목이 톡 쏘는 칼칼함은 없지만 귤껍질추출물 덕분에 미세한 귤향이 나서 좋아한다,목 칼 칼 귤껍질 추출물 덕분 미세 귤 향 나서 좋아하
2562,다른맥주에비해 신선도가 더높은거 같아요 다른건 먹을때 물맛이 너무 많이나는데 맥스는 그런게 적어요,맥주 비하 신선도 거 건 때 물 맛 맥스 그렇
2563_0,시원하고,시원
2563_1,상큼하다,상큼
2564,ok캐쉬백 쿠폰이 붙어 있어서,캐쉬 백 쿠폰
2565,호가든 맥주상품이 좋아요,호가든 맥주 상품
2566_0,시원한 맥주를 마시고,시원 맥주 마시
2566_1,나면 입에서 나오는 의성어인 캬의 발음을 맥수 상표로 잘 형상화해서 만든거 같아서 좋아 합니다,입 나오 의성어 발음 맥 수 상표 형상 만들 거
