KEY,doc,raw_doc_tu
88,마실때의 풍미가 느껴짐 ,마실 때 풍미 느끼
89,맛있다,맛있
90_0,맛있고,맛있
90_1,약간 달콤한 맛이 나며 거품이 부드럽다,달콤 맛 거품 부드럽
91,맛이 깔끔해서,맛 깔끔
92_1,매력적이다,매력
93_0,우선맥주맛이좋아서호감이가고,우선 맥주 맛 이 좋아서 호감
93_1,칼로리가 적다는 것을 어필하는 상표라서좋음,칼로리 것 어필 상표
94,하이트 맥주를 즐겨마신다,하이트 맥주 즐기 마시
95,기억하기가 쉽다,기억
96,일단 칼로리가 낮으면서 맛도 나쁘지 않음,칼로리 맛 나쁘
97,순한 넘김,순하 넘기
98,맛있어서,맛있
99_0,익숙하고,익숙
99_1,맛이 시원함,맛 시원
100,친구들과 많이 먹어 친근함,친구 친근
101,호가든 맥주를 좋아하기때문에,호가든 맥주 좋아하 때문
102,부드러운 맛,부드럽 맛
103,깔끔한 맛,깔끔 맛
104_0,광고를 가장 많이 접하였고,광고 접하
104_1,일반적으로 술집에서 가장 쉽게 접할수 있습니다,일반 술집 접하 수
104_2,편하게 시켜서 마실수 있는 맥주로 자리 잡은거 같습니다,편하 시키 마시 수 맥주 자리 거
105,자주 찾는 맥주라서,맥주
106,하이트에 대해서는 사실 큰 관심이 없었지만 최근 김연아 선수가 광고를 하면서 하이트의 이미지가 좋아짐,하이트 대하 사실 관심 최근 김연아 선수 광고 하이트 이미지
107,흰색 배경에 노란색 별모양이 눈에 확들어옴,흰색 배경 노란색 별 모양 눈 들어오
108,맥주가 맛있어서,맥주 맛있
109,맛있음,맛있
110_0,톡쏘는 맛이 깔끔하고,맛 깔끔
110_3,광고모델도 좋아해서 선호한다,광고 모델 좋아하 선호
111_0,부드럽고,부드럽
111_1,고급스런 이미지,고급 이미지
112,고소한 맛,고소 맛
113,맛이 깨끗하다,맛 깨끗
114_0,오래전부터 마셔왔던거고,오래전 마시 거
114_1,주변에서 쉽게 접할수있다,주변 접하 수
115,맛있어서,맛있
116_0,다른 맥주보다,맥주
116_1,톡쏘는 느낌이 강하다,느낌 강하
117,깔끔한맛,깔끔 맛
118,맛이 진하면서도 깔끔하다,맛 진하 깔끔
119,다른 맥주에 비해 목넘김이 부드럽다아주 좋다,맥주 비하 목 넘기 부드럽
120_0,카스의 톡 쏘는 맛이 좋아함 그리고,카스 맛 좋아하
120_1,상표도 참 무난해서 좋음,상표 무난
121,다른맥주에 비하여 맛이 더 좋다,맥주 비하 맛
122,부드러운 맛,부드럽 맛
123,산뜻하다,산뜻
124_0,마실때 부드럽고,마실 때 부드럽
124_1,목넘김이 좋으며 뒤끝이 없고,목 넘기 뒤끝
124_2,깔금하고,금하
124_3,좋은거 같다,거
125,맛있다,맛있
126,친근,친근
127,외국 맥주치고는 저렴하다,외국 맥주 저렴
128,부드러운 맛,부드럽 맛
129,디라는 상표가 세련되어 보여서,디 상표 세련
130,시원한 목넘김과 탄산의 짜릿함이 정말 맥주구나 라는 느낌이 든다,시원 목 넘기 탄산 짜릿 맥주 느낌
131,아일랜드 기네스 공장 투어,아일랜드 기네스 공장 투어
132,예전부터 자주 먹는 맥주이다다른 맥주는 대체적으로 안먹음 특히 소주랑 믹스해서 먹으면 아주 좋다,예전 맥주 다르 맥주 대체 소주 믹스
133,개인적으로 KGB 맥주를 좋아하기때문에,개인 맥주 좋아하 때문
134,맛이 가장 저에게 잘 맞습니다,맛 저
135_0,목넘김이 부드럽고,목 넘기 부드럽
135_1,맥주 맛이 좋습니다,맥주 맛
136,광고가 좋아서,광고
137_0,부드럽고,부드럽
137_1,맛있다,맛있
138,맛있어서,맛있
139,보리맛이 좋아서,보리 맛
140_0,기존 맥주보다,기존 맥주
140_1,칼로리가 낮을 것 같아서 주로이용한다,칼로리 낮 것 이용
